kernel,type,n,gops,peak_gops,efficiency,seconds,reps,correct
v0_naive,int8,64,6.0374,160,0.0377338,8.684e-05,15,1
v1_ikj,int8,64,24.6863,160,0.154289,2.1238e-05,15,1
v2_blocked,int8,64,25.0856,160,0.156785,2.09e-05,15,1
v3_packed,int8,64,11.7488,160,0.0734297,4.4625e-05,15,1
v4_regtile,int8,64,8.26015,160,0.0516259,6.3472e-05,15,1
v5_micro,int8,64,13.5339,160,0.0845866,3.8739e-05,15,1
v0_naive,int8,128,4.22567,160,0.0264104,0.000992577,15,1
v1_ikj,int8,128,28.5609,160,0.178505,0.000146855,15,1
v2_blocked,int8,128,29.1289,160,0.182056,0.000143991,15,1
v3_packed,int8,128,20.9234,160,0.130771,0.00020046,15,1
v4_regtile,int8,128,11.6392,160,0.072745,0.00036036,15,1
v5_micro,int8,128,24.4957,160,0.153098,0.000171226,15,1
v0_naive,int8,256,3.86286,160,0.0241429,0.00868643,8,1
v1_ikj,int8,256,32.459,160,0.202869,0.00103375,15,1
v2_blocked,int8,256,32.5804,160,0.203627,0.0010299,15,1
v3_packed,int8,256,33.5865,160,0.209915,0.000999046,15,1
v4_regtile,int8,256,19.8638,160,0.124149,0.00168923,15,1
v5_micro,int8,256,37.053,160,0.231581,0.000905579,15,1
v0_naive,int8,512,4.31965,160,0.0269978,0.0621428,1,1
v1_ikj,int8,512,33.9692,160,0.212307,0.00790232,12,1
v2_blocked,int8,512,33.8128,160,0.21133,0.00793887,12,1
v3_packed,int8,512,34.5144,160,0.215715,0.00777749,12,1
v4_regtile,int8,512,20.1575,160,0.125984,0.0133169,7,1
v5_micro,int8,512,37.1127,160,0.231954,0.00723298,13,1
v0_naive,int8,1024,2.94196,160,0.0183873,0.729949,1,1
v1_ikj,int8,1024,34.4703,160,0.215439,0.0622996,1,1
v2_blocked,int8,1024,32.8871,160,0.205544,0.0652987,1,1
v3_packed,int8,1024,34.2069,160,0.213793,0.0627793,1,1
v4_regtile,int8,1024,19.7241,160,0.123276,0.108876,1,1
v5_micro,int8,1024,36.0379,160,0.225237,0.0595896,1,1
v0_naive,int8,2048,1.38498,160,0.00865612,12.4044,1,1
v1_ikj,int8,2048,34.5069,160,0.215668,0.497868,1,1
v2_blocked,int8,2048,32.7909,160,0.204943,0.523923,1,1
v3_packed,int8,2048,26.9063,160,0.168165,0.638506,1,1
v4_regtile,int8,2048,19.2059,160,0.120037,0.894508,1,1
v5_micro,int8,2048,36.3538,160,0.227211,0.472574,1,1
